CountryCode,Conference,Year,Delegates
DEU,COP12,2006,52
GHA,COP12,2006,8
GRC,COP12,2006,6
GRD,COP12,2006,2
GTM,COP12,2006,7
GIN,COP12,2006,6
GNB,COP12,2006,4
GUY,COP12,2006,1
HTI,COP12,2006,2
HND,COP12,2006,1
HUN,COP12,2006,7
ISL,COP12,2006,7
IND,COP12,2006,18
IDN,COP12,2006,52
IRN,COP12,2006,20
IRQ,COP12,2006,0
IRL,COP12,2006,14
ISR,COP12,2006,4
ITA,COP12,2006,41
JAM,COP12,2006,5
JPN,COP12,2006,61
JOR,COP12,2006,3
KAZ,COP12,2006,8
KEN,COP12,2006,273
KIR,COP12,2006,2
KWT,COP12,2006,12
KGZ,COP12,2006,3
LAO,COP12,2006,2
LVA,COP12,2006,8
LBN,COP12,2006,1
LSO,COP12,2006,2
LBR,COP12,2006,3
LBY,COP12,2006,7
LIE,COP12,2006,1
LTU,COP12,2006,3
LUX,COP12,2006,6
MKD,COP12,2006,2
MDG,COP12,2006,2
MWI,COP12,2006,11
MYS,COP12,2006,15
MDV,COP12,2006,5
MLI,COP12,2006,5
MLT,COP12,2006,1
MHL,COP12,2006,1
MRT,COP12,2006,2
MUS,COP12,2006,4
MEX,COP12,2006,27
FSM,COP12,2006,5
MCO,COP12,2006,1
MNG,COP12,2006,1
MNE,COP12,2006,0
MAR,COP12,2006,11
MOZ,COP12,2006,11
MMR,COP12,2006,0
NAM,COP12,2006,6
NRU,COP12,2006,0
NPL,COP12,2006,5
NLD,COP12,2006,21
NZL,COP12,2006,13
NIC,COP12,2006,2
NER,COP12,2006,3
NGA,COP12,2006,11
NOR,COP12,2006,28
OMN,COP12,2006,2
PAK,COP12,2006,6
PLW,COP12,2006,1
PAN,COP12,2006,6
PNG,COP12,2006,18
PRY,COP12,2006,2
PER,COP12,2006,12
PHL,COP12,2006,9
POL,COP12,2006,39
PRT,COP12,2006,12
QAT,COP12,2006,6
KOR,COP12,2006,58
MDA,COP12,2006,4
ROM,COP12,2006,2
RUS,COP12,2006,33
RWA,COP12,2006,5
KNA,COP12,2006,2
LCA,COP12,2006,3
VCT,COP12,2006,1
WSM,COP12,2006,3
SMR,COP12,2006,0
STP,COP12,2006,3
SAU,COP12,2006,19
SEN,COP12,2006,22
SRB,COP12,2006,8
SYC,COP12,2006,2
SLE,COP12,2006,2
SGP,COP12,2006,12
SVK,COP12,2006,8
SVN,COP12,2006,5
SLB,COP12,2006,4
SOM,COP12,2006,0
ZAF,COP12,2006,49
ESP,COP12,2006,36
LKA,COP12,2006,5
SDN,COP12,2006,13
SUR,COP12,2006,0
SWZ,COP12,2006,1
SWE,COP12,2006,28
CHE,COP12,2006,20
SYR,COP12,2006,1
TJK,COP12,2006,5
THA,COP12,2006,15
TMP,COP12,2006,0
TGO,COP12,2006,7
TON,COP12,2006,0
TTO,COP12,2006,2
TUN,COP12,2006,11
TUR,COP12,2006,15
TKM,COP12,2006,1
TUV,COP12,2006,6
UGA,COP12,2006,14
UKR,COP12,2006,17
ARE,COP12,2006,10
GBR,COP12,2006,56
TZA,COP12,2006,30
USA,COP12,2006,47
URY,COP12,2006,2
UZB,COP12,2006,1
VUT,COP12,2006,2
VEN,COP12,2006,8
VNM,COP12,2006,4
YEM,COP12,2006,6
ZMB,COP12,2006,18
ZWE,COP12,2006,6
AFG,COP13,2007,1
ALB,COP13,2007,4
DZA,COP13,2007,11
AGO,COP13,2007,19
ATG,COP13,2007,5
ARG,COP13,2007,10
ARM,COP13,2007,3
AUS,COP13,2007,75
AUT,COP13,2007,31
AZE,COP13,2007,1
BHS,COP13,2007,5
BHR,COP13,2007,1
BGD,COP13,2007,29
BRB,COP13,2007,7
BLR,COP13,2007,8
BEL,COP13,2007,35
BLZ,COP13,2007,6
BEN,COP13,2007,7
BTN,COP13,2007,6
BOL,COP13,2007,5
BIH,COP13,2007,1
BWA,COP13,2007,14
BRA,COP13,2007,193
BRN,COP13,2007,16
BGR,COP13,2007,9
BFA,COP13,2007,4
BDI,COP13,2007,2
CPV,COP13,2007,4
KHM,COP13,2007,5
CMR,COP13,2007,2
CAN,COP13,2007,60
CAF,COP13,2007,2
TCD,COP13,2007,4
CHL,COP13,2007,12
CHN,COP13,2007,44
COL,COP13,2007,23
COM,COP13,2007,3
COG,COP13,2007,5
COK,COP13,2007,8
CRI,COP13,2007,15
CIV,COP13,2007,7
HRV,COP13,2007,8
CUB,COP13,2007,8
CYP,COP13,2007,2
CZE,COP13,2007,13
ZAR,COP13,2007,9
DNK,COP13,2007,81
DJI,COP13,2007,1
DMA,COP13,2007,2
DOM,COP13,2007,9
ECU,COP13,2007,12
EGY,COP13,2007,17
SLV,COP13,2007,3
GNQ,COP13,2007,2
ERI,COP13,2007,0
EST,COP13,2007,6
ETH,COP13,2007,2
FJI,COP13,2007,3
FIN,COP13,2007,40
FRA,COP13,2007,69
GAB,COP13,2007,8
GMB,COP13,2007,5
GEO,COP13,2007,5
DEU,COP13,2007,68
GHA,COP13,2007,17
GRC,COP13,2007,13
GRD,COP13,2007,5
GTM,COP13,2007,9
GIN,COP13,2007,5
GNB,COP13,2007,5
GUY,COP13,2007,6
HTI,COP13,2007,3
HND,COP13,2007,4
HUN,COP13,2007,7
ISL,COP13,2007,12
IND,COP13,2007,42
IDN,COP13,2007,93
IRN,COP13,2007,33
IRQ,COP13,2007,0
IRL,COP13,2007,54
ISR,COP13,2007,0
ITA,COP13,2007,57
JAM,COP13,2007,7
JPN,COP13,2007,78
JOR,COP13,2007,2
